ID,Name,Fee,Venue,Date,Duration
60,HE VMWare,7000,Berlin,27-Sep-2018,5
61,HE Gemfire Caching,7000,Munich,01-Aug-2018,2
62,HE Redis Caching,8000,Frankfurt,04-Aug-2018,3
63,HE AWS Elasticache,12000,Dubai,07-Aug-2018,4
64,HE HBase,8000,Mumbai,10-Aug-2018,5
65,HE Adobe Media,9000,Kolkata,13-Aug-2018,2
66,HE Iphone App Developer,8000,Hyderabad,16-Aug-2018,3
67,HE Mac Admin,10000,Chennai,19-Aug-2018,4
68,HE Dell Admin,12000,London,22-Aug-2018,5
69,HE CA Admin,12000,Washington,25-Aug-2018,2
70,HE Storage Architecture,8000,Navada,28-Aug-2018,3
71,HE Tibco Messaging,12000,Newyork,31-Aug-2018,4
72,HE Kafka,8000,Sydney,03-Sep-2018,5
73,HE Datadog,12000,Singapore,06-Sep-2018,2
74,HE Tablaeu,10000,Pune,09-Sep-2018,3
75,HE QlikSense,10000,New Delhi,12-Sep-2018,4
76,HE Qlikview,12000,Yokohama,15-Sep-2018,5
77,HE Data Science Statistics,15000,Osaka,18-Sep-2018,2
78,HE Datascience Algorithm,12000,Beijing,21-Sep-2018,3
79,HE Robotics,12000,Hong Kong,24-Sep-2018,4
80,HE IOT,12000,Shenzhen,27-Sep-2018,5
81,HE Hue,6000,Berlin,01-Aug-2018,2
82,HE Oozie,8000,Munich,04-Aug-2018,3
83,HE Struts,7000,Frankfurt,07-Aug-2018,4
84,HE Jquery,9000,Dubai,10-Aug-2018,5
85,HE DotNet,7000,Mumbai,13-Aug-2018,2
86,HE Design Pattern,6000,Kolkata,16-Aug-2018,3
87,HE AWS Lambda,7000,Hyderabad,19-Aug-2018,4
88,HE Redhat Admin,10000,Chennai,22-Aug-2018,5
89,HE Network Admin,12000,London,25-Aug-2018,2
90,HE CPU Deign,7000,Washington,28-Aug-2018,3
91,HE GPU Design,6000,Navada,31-Aug-2018,4
92,HE Ethical Hacking,12000,Newyork,03-Sep-2018,5
93,HE Hacking,8000,Sydney,06-Sep-2018,2
94,HE Antivirus development,12000,Singapore,09-Sep-2018,3
95,HE Shell Script,6000,Pune,12-Sep-2018,4
96,HE Advanced Core Java,7000,New Delhi,15-Sep-2018,5
97,HE Ibatis,8000,Yokohama,18-Sep-2018,2
98,HE Scala Akka,10000,Osaka,21-Sep-2018,3
99,HE GraphDB,12000,Beijing,24-Sep-2018,4
100,HE Cloudera Datascience Workbench,15000,Hong Kong,27-Sep-2018,5
